iter	Passed	Remaining
0	1	104
1	2	104
2	3	100
3	3	95
4	5	97
5	6	99
6	7	96
7	8	94
8	9	91
9	10	90
10	11	89
11	11	87
12	12	85
13	13	84
14	14	83
15	15	81
16	16	80
17	17	80
18	18	79
19	19	78
20	20	77
21	21	76
22	22	75
23	23	74
24	24	73
25	25	72
26	26	71
27	27	70
28	28	69
29	29	68
30	30	67
31	31	66
32	32	65
33	33	64
34	33	63
35	34	61
36	35	60
37	36	59
38	37	58
39	38	57
40	39	57
41	40	55
42	40	54
43	42	53
44	42	52
45	43	51
46	44	50
47	45	49
48	47	49
49	48	48
50	49	47
51	50	46
52	51	45
53	52	44
54	53	43
55	53	42
56	54	41
57	55	40
58	56	39
59	57	38
60	58	37
61	59	36
62	60	35
63	61	34
64	63	33
65	64	33
66	65	32
67	65	31
68	66	30
69	67	29
70	68	28
71	69	27
72	70	26
73	71	25
74	72	24
75	73	23
76	74	22
77	75	21
78	76	20
79	77	19
80	78	18
81	79	17
82	80	16
83	81	15
84	82	14
85	83	13
86	84	12
87	85	11
88	86	10
89	87	9
90	87	8
91	89	7
92	89	6
93	90	5
94	91	4
95	93	3
96	94	2
97	94	1
98	96	0
99	97	0
